Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,totalsc,gender,age,source,country
4,4,4,4,4,4,4,4,4,4,40,1,35,1,HK
3,3,4,3,3,4,4,4,2,4,34,1,20,3,GB
3,3,2,2,3,3,2,1,2,2,23,2,18,3,US
3,3,3,3,2,2,2,1,4,4,27,2,42,1,US
3,4,3,3,3,3,3,2,3,3,30,1,44,3,AU
3,4,4,3,3,3,3,2,2,2,29,1,44,3,AU
3,3,3,3,1,3,3,2,1,2,24,2,34,1,AU
4,4,4,3,4,3,3,2,3,3,33,1,32,3,US
4,4,3,4,4,3,3,2,3,3,33,1,61,1,CA
2,3,2,2,2,2,1,2,4,1,21,1,28,3,GB
4,4,4,3,4,3,4,2,3,4,35,2,21,3,US
3,3,2,3,2,2,1,1,1,1,19,2,27,1,CA
3,4,2,4,2,4,4,1,1,1,26,1,39,3,US
3,4,4,4,3,4,3,3,3,3,34,1,39,3,US
2,1,1,2,1,2,1,1,1,1,13,2,33,3,DE
3,3,2,2,1,1,1,1,1,1,16,1,41,3,BE
4,4,4,4,4,4,3,3,3,4,37,2,54,1,US
3,3,2,2,3,2,2,2,2,2,23,2,44,1,US
4,4,4,4,4,4,4,4,4,4,40,1,32,3,GR
1,4,1,2,1,1,1,1,1,1,14,1,27,3,GB
4,4,4,4,4,4,4,4,4,4,40,2,13,1,US
3,4,4,4,4,3,3,3,4,4,36,2,19,1,PH
3,4,3,3,2,2,2,1,3,4,27,2,49,1,US
3,3,4,2,2,2,1,2,1,2,22,1,26,3,IN
1,3,2,3,2,2,2,2,2,2,21,1,21,1,US
4,4,1,4,1,2,1,1,1,3,22,1,53,1,US
3,3,3,3,3,3,3,4,4,2,31,1,37,3,US
4,4,4,3,4,3,3,2,2,4,33,2,51,3,JP
4,4,3,4,4,4,3,3,4,4,37,2,28,1,SI
3,3,2,3,3,2,2,2,3,3,26,2,29,3,GB
3,2,4,3,2,3,4,2,2,3,28,2,17,1,US
1,1,4,1,4,1,1,4,4,4,25,2,40,3,HK
3,3,2,2,3,2,1,2,2,2,22,2,21,3,CA
3,3,3,4,3,3,3,3,3,4,32,2,26,1,US
3,3,3,2,3,3,3,2,1,1,24,1,38,1,US
3,3,2,4,1,2,1,2,2,2,22,1,31,1,US
4,4,2,3,2,3,2,2,2,2,26,1,54,1,EU
4,4,4,3,1,3,3,2,4,4,32,2,52,3,CA
3,3,3,3,2,2,2,1,2,2,23,2,25,3,RO
3,4,4,3,4,3,4,4,4,4,37,2,20,3,US
4,4,4,4,4,3,4,3,3,4,37,2,59,3,US
4,4,3,4,3,3,3,3,2,4,33,1,24,3,CA
4,4,3,3,3,3,3,4,3,3,33,1,47,3,US
4,4,4,4,4,4,4,4,4,4,40,2,44,3,GB
3,3,3,4,2,3,2,3,4,3,30,1,42,1,US
4,4,3,3,2,4,4,3,4,4,35,1,53,3,GB
4,4,4,3,4,4,4,3,4,4,38,2,22,3,CA
4,4,3,3,4,3,4,2,2,3,32,2,21,3,PK
4,4,3,4,3,3,2,1,3,3,30,1,12,3,PK
4,4,4,2,3,3,3,3,3,3,32,1,45,3,PK
3,3,2,3,2,2,2,1,1,2,21,2,21,3,GB
3,3,2,4,3,2,1,3,2,3,26,1,24,1,US
3,3,4,3,3,3,2,3,4,4,32,2,14,3,US
4,4,4,3,4,3,3,3,4,4,36,2,14,3,US
1,2,2,4,4,1,2,2,2,2,22,2,25,1,US
3,3,1,3,1,1,1,1,1,1,16,1,47,3,LU
4,1,4,3,3,3,3,4,3,4,32,2,49,1,CL
2,2,1,2,2,1,1,2,2,2,17,1,25,1,GB
2,3,2,2,1,2,2,1,1,1,17,1,18,3,US
3,3,3,3,3,3,3,2,2,2,27,2,27,1,US
4,4,4,4,4,4,4,3,4,4,39,2,34,3,US
3,3,3,3,3,4,3,2,2,2,28,1,36,1,SG
4,4,3,3,4,3,3,4,3,3,34,1,20,3,TR
4,4,3,4,4,3,3,2,2,2,31,2,43,1,US
4,3,3,4,2,3,3,2,2,4,30,1,35,1,AU
4,4,4,4,4,3,4,4,2,4,37,2,23,3,GB
3,3,2,2,1,2,1,1,1,1,17,1,40,3,IN
3,3,3,2,3,2,2,3,2,2,25,2,59,1,US
3,2,3,3,2,3,2,3,3,2,26,2,31,1,US
3,3,3,3,2,2,2,1,2,2,23,1,29,3,RU
3,3,3,4,3,4,3,2,3,3,31,2,18,3,HK
3,4,3,3,4,3,3,3,3,4,33,2,40,3,RO
3,3,4,3,3,2,2,3,2,4,29,1,23,3,NO
4,4,4,4,4,4,4,4,4,4,40,1,19,3,ES
4,4,4,4,3,2,4,4,2,2,33,2,40,1,FR
4,4,4,4,4,4,2,2,3,4,35,1,27,1,US
3,3,3,3,3,3,3,2,3,2,28,2,21,1,JE
4,3,2,3,1,3,1,1,2,2,22,1,19,1,JE
4,4,4,3,4,3,3,3,3,4,35,2,51,1,US
1,3,1,4,2,2,2,2,1,2,20,1,14,1,US
2,3,2,2,3,1,2,2,1,1,19,2,24,1,GH
3,3,1,2,2,3,1,3,1,1,20,2,18,1,NZ
4,4,4,3,3,3,3,2,2,3,31,2,29,1,GB
4,4,2,4,4,4,4,4,1,4,35,2,19,1,GB
3,3,2,3,2,1,1,2,2,2,21,1,21,3,US
4,4,4,4,3,4,4,4,3,2,36,2,27,3,DK
4,4,3,3,4,3,3,1,3,4,32,2,35,3,US
2,3,2,3,3,3,2,2,2,2,24,1,28,3,GB
3,3,2,3,2,3,3,2,2,3,26,2,22,1,AU
3,3,3,3,3,3,3,2,2,3,28,2,30,3,US
2,2,3,2,3,2,2,3,3,3,25,2,20,3,US
3,3,2,4,2,4,4,1,4,4,31,1,17,1,IN
3,3,3,3,3,2,2,3,3,3,28,2,57,1,GB
4,4,4,4,4,4,4,4,4,4,40,2,16,3,IL
4,4,4,3,4,4,4,4,4,4,39,2,22,1,US
4,4,4,4,4,4,4,4,4,4,40,2,27,1,GB
2,2,3,3,2,2,1,2,2,2,21,1,19,3,GB
3,3,3,3,3,3,3,1,3,3,28,2,36,1,GB
2,2,1,1,3,1,1,1,1,1,14,2,19,3,US
2,2,1,3,1,2,2,2,1,1,17,1,19,1,US
3,4,3,4,3,1,2,1,1,2,24,1,16,1,US
4,4,4,3,4,3,3,3,3,4,35,1,39,3,US
3,3,3,3,2,3,2,2,2,2,25,2,24,1,US
4,2,3,1,1,2,2,2,4,4,25,1,18,1,US
4,4,2,4,4,3,3,2,3,3,32,2,42,3,GB
3,4,2,3,3,4,3,2,4,4,32,1,21,3,IN
3,3,3,3,1,2,2,2,1,2,22,2,24,3,IN
4,3,3,2,3,3,3,2,2,2,27,2,22,3,IT
3,2,2,3,1,3,3,2,1,1,21,2,16,3,US
3,3,2,2,2,1,1,2,2,2,20,1,21,1,GB
4,4,3,4,3,3,3,2,2,3,31,1,21,1,US
4,4,3,4,3,1,3,1,2,2,27,1,21,3,US
3,4,2,3,3,2,2,3,4,4,30,2,55,3,GB
4,4,4,4,4,3,3,2,4,4,36,1,39,1,US
3,3,4,4,4,2,3,1,4,4,32,2,37,1,DE
4,4,4,4,1,4,4,3,3,4,35,2,59,3,US
3,3,3,3,4,3,3,1,1,1,25,2,20,3,US
3,3,4,4,4,3,2,3,2,4,32,1,39,1,US
2,3,1,2,2,2,2,2,2,2,20,1,25,1,US
4,4,4,4,4,4,4,2,4,4,38,1,18,1,GY
3,3,2,2,2,2,1,2,2,3,22,2,36,1,NZ
3,3,3,3,2,3,3,2,2,2,26,2,42,1,US
2,3,3,3,3,2,2,1,1,2,22,2,29,3,AU
4,3,4,3,3,4,4,3,3,3,34,2,22,3,IN
4,4,3,3,3,3,4,3,3,3,33,2,19,3,US
3,3,4,3,4,3,3,2,2,3,30,1,24,3,IT
4,4,3,3,4,3,2,3,2,3,31,2,25,3,US
4,3,2,3,3,2,2,2,1,2,24,1,47,3,GB
4,4,3,3,4,3,3,3,3,3,33,2,53,1,CA
4,4,2,4,2,3,3,3,2,3,30,1,13,1,US
2,2,2,2,1,2,2,2,2,3,20,1,24,3,US
2,3,2,2,2,2,2,2,2,2,21,1,20,1,US
1,3,1,2,2,2,2,1,1,1,16,2,19,1,US
4,4,2,3,3,2,1,2,1,1,23,1,46,1,GB
1,2,1,2,1,2,1,2,1,1,14,1,30,3,FR
3,4,3,3,3,3,3,1,1,1,25,1,30,1,MY
3,3,2,3,2,2,1,1,1,2,20,1,60,3,US
3,4,3,3,3,4,3,3,3,4,33,1,45,1,GB
1,3,1,1,1,1,1,1,1,1,12,1,44,3,AU
4,4,4,4,4,4,4,4,1,4,37,2,55,3,BR
3,3,3,2,3,1,3,1,2,2,23,2,29,1,GB
3,3,3,3,3,3,3,3,2,2,28,2,34,3,NZ
4,4,4,4,1,4,4,4,1,4,34,2,40,3,US
1,1,1,2,1,1,1,3,1,1,13,2,22,1,US
4,4,3,3,3,4,3,3,3,2,32,2,23,3,LT
2,3,2,2,1,2,2,1,1,1,17,2,17,1,SG
3,3,3,2,3,3,3,2,1,3,26,1,48,3,CA
4,3,3,2,2,4,3,3,1,1,26,1,22,3,LV
4,4,3,4,4,3,3,3,3,4,35,2,28,1,MX
2,3,2,3,1,1,1,1,1,1,16,1,36,1,US
4,4,4,4,4,4,4,3,3,3,37,2,31,3,US
2,3,1,2,1,2,1,1,1,1,15,1,33,3,FR
3,3,3,3,3,3,3,3,2,3,29,2,58,3,US
3,4,4,4,2,4,3,2,3,2,31,1,16,3,IN
4,4,3,3,3,4,3,3,2,2,31,1,17,1,IN
3,3,2,2,3,2,2,2,1,1,21,1,44,1,GB
4,4,4,4,3,3,4,3,4,4,37,2,40,3,US
3,3,2,3,3,1,2,1,1,1,20,2,16,1,GB
3,3,2,3,1,3,2,2,2,2,23,1,37,1,GB
3,4,3,2,2,1,1,1,1,1,19,1,51,3,US
2,4,1,2,2,2,2,2,1,2,20,2,19,3,US
2,4,4,4,2,3,2,2,2,2,27,1,20,1,US
3,4,4,3,3,4,4,3,4,4,36,2,24,3,US
4,4,3,4,3,3,2,2,2,2,29,2,29,1,US
4,4,4,4,4,4,3,4,4,4,39,2,23,3,US
4,4,4,3,4,3,3,3,3,4,35,1,40,3,GB
4,4,3,4,4,2,3,3,2,1,30,2,22,1,US
3,4,4,3,4,3,2,2,4,4,33,2,40,3,GB
3,3,2,3,2,2,2,2,1,1,21,1,58,3,US
4,4,4,4,3,4,3,2,4,2,34,2,20,1,US
4,4,3,3,3,3,3,2,2,3,30,2,34,3,DK
4,4,4,4,4,3,3,3,3,4,36,2,34,3,DK
4,4,4,4,3,3,4,3,3,2,34,1,35,1,US
2,3,2,3,2,2,2,2,1,1,20,2,18,1,CA
4,4,4,4,4,3,3,3,2,4,35,2,34,3,NZ
4,3,3,4,2,2,3,2,1,1,25,2,28,3,CA
4,4,4,4,3,3,2,3,3,3,33,1,20,1,US
3,3,3,3,1,2,2,1,2,2,22,1,18,3,ES
4,3,1,4,1,2,1,3,1,1,21,1,28,1,BR
4,4,4,4,4,4,4,4,4,4,40,1,16,1,IE
3,3,3,3,3,3,3,3,3,3,30,2,52,3,US
4,4,3,3,3,3,3,2,2,3,30,1,17,1,US
2,3,2,2,2,2,1,1,2,1,18,2,51,1,CA
2,2,2,3,1,2,2,2,1,2,19,2,20,3,ID
3,4,4,4,4,4,4,4,4,4,39,2,19,1,US
4,4,4,3,3,3,4,2,3,3,33,1,19,1,US
4,4,4,3,4,4,4,4,4,4,39,2,19,1,US
3,4,4,4,4,4,4,4,3,4,38,2,22,1,US
4,4,4,3,4,4,4,3,4,4,38,2,17,1,US
4,4,4,3,4,4,4,3,4,3,37,2,20,1,US
4,4,4,3,4,4,4,3,3,4,37,2,20,1,US
3,3,3,3,2,2,3,1,1,1,22,2,26,3,US
3,4,3,3,3,2,3,1,2,2,26,2,55,3,US
4,4,4,4,4,4,4,3,3,3,37,2,30,3,BA
3,3,1,3,2,2,1,3,1,2,21,1,22,1,GB
3,4,3,4,3,3,4,4,3,3,34,2,18,1,PL
3,3,3,2,2,2,2,3,2,4,26,1,60,3,US
4,4,2,3,2,4,4,1,1,2,27,2,19,1,ID
4,4,4,4,3,3,3,3,4,4,36,1,35,1,NO
2,3,3,3,3,2,2,3,2,2,25,2,53,3,GB
4,4,3,3,4,4,3,2,2,3,32,2,19,3,CA
3,4,4,3,4,3,4,3,3,3,34,2,21,1,US
4,3,3,4,3,3,3,3,3,2,31,2,15,1,US
4,3,3,3,3,2,1,1,1,1,22,2,35,1,IS
3,3,2,3,2,2,2,1,1,1,20,1,19,1,US
3,3,3,3,3,3,3,3,3,3,30,1,17,1,CA
3,3,2,3,2,3,2,1,2,2,23,1,38,3,IE
3,3,2,2,1,1,1,2,1,1,17,1,32,1,US
3,3,3,3,3,2,2,2,2,4,27,2,48,3,GB
4,4,4,4,4,4,4,3,3,4,38,2,29,3,US
3,4,4,3,4,4,4,4,4,4,38,1,25,1,CA
3,3,3,3,3,2,2,2,2,2,25,1,29,3,GB
3,3,1,2,4,1,1,2,1,1,19,1,38,3,EU
3,4,2,4,2,3,3,2,2,2,27,1,26,1,CA
4,4,4,4,4,4,4,3,2,2,35,1,22,3,AU
2,3,2,3,1,2,2,1,1,2,19,2,65,3,CA
4,4,4,4,3,3,2,2,2,2,30,1,40,3,US
4,4,4,4,4,3,3,3,4,4,37,2,58,3,US
2,3,2,4,3,2,1,1,1,1,20,1,34,1,US
4,4,4,4,4,4,4,4,4,4,40,1,32,1,CA
4,4,3,4,3,4,3,3,2,3,33,2,16,3,FR
2,2,2,4,2,2,1,1,2,1,19,2,13,3,GB
3,3,2,2,2,1,1,1,1,1,17,2,23,3,CA
4,4,3,4,3,3,3,2,3,3,32,2,56,1,US
3,3,1,1,3,2,1,1,1,1,17,2,29,1,US
3,3,3,3,2,3,2,2,2,3,26,1,24,1,FI
3,3,3,4,3,3,3,3,3,3,31,1,52,3,US
4,4,4,3,3,2,2,2,2,3,29,1,21,1,US
3,2,3,2,2,3,3,2,2,2,24,1,14,3,IN
3,4,3,3,3,4,3,3,3,4,33,2,38,1,DE
2,2,1,3,1,1,2,1,1,1,15,1,31,3,NZ
3,3,2,3,2,2,2,3,2,3,25,1,39,3,US
4,4,3,4,2,3,2,2,3,3,30,1,32,3,PL
4,4,3,4,3,3,3,2,4,3,33,1,42,3,US
2,2,2,2,1,1,1,1,1,1,14,2,31,1,GB
4,4,3,3,3,3,3,4,4,4,35,1,48,1,GB
3,3,3,3,3,3,3,2,3,3,29,1,46,3,US
3,3,3,3,3,3,3,3,2,3,29,2,37,3,US
3,3,4,3,3,4,4,2,3,3,32,2,26,1,US
4,3,4,3,3,3,4,3,2,4,33,1,48,3,US
3,3,1,2,1,1,1,1,1,1,15,1,20,3,US
3,3,2,3,2,3,2,3,3,3,27,2,33,3,US
4,4,4,4,4,4,4,4,3,3,38,1,23,1,NZ
2,2,2,2,2,2,2,3,2,2,21,1,21,3,GB
4,4,4,3,4,4,3,1,3,4,34,1,25,3,GH
